**** Planta:  201                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  437                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  421                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  422                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  212                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                          482.04  482.04  482.04  482.04       0
2021   2                                                          482.04  482.04  482.04  482.04       0
2021   3                                                          482.04  482.04  482.04  482.04       0
2022   1       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2022   2       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2022   3       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2023   1       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2023   2       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2023   3       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2024   1       0       0       0       0       0  483.36  483.36  483.36  483.36  483.36  483.36       0
2024   2       0       0       0       0       0  483.36  483.36  483.36  483.36  483.36  483.36       0
2024   3       0       0       0       0       0  483.36  483.36  483.36  483.36  483.36  483.36       0
2025   1       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2025   2       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
2025   3       0       0       0       0       0  482.04  482.04  482.04  482.04  482.04  482.04       0
**** Planta:   36                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
